session_id,started_at,video_idx,video_name,true_class_id,true_class_name,predicted_class_id,predicted_class_name,correct,elapsed_ms,answered_at
242a37bb-1d05-419c-9632-7cfc718ed054,1777042353.4485867,0,video.mp4,0,Test,1,Standing up,False,1234,1777042353.4487708
267fc616-b760-4516-b394-ba5649fd7f7b,1777042413.5267856,0,05_006.mp4,4,Coughing,1,Standing up,False,500,1777042413.527433
0b79bbc5-b4ce-48c7-b1ef-c01b7de8a623,1777046650.7984154,0,04_006.mp4,3,Sitting up from bed,10,Patient involuntary movements,False,1111,1777046652.109603
0b79bbc5-b4ce-48c7-b1ef-c01b7de8a623,1777046650.7984154,1,03_022.mp4,2,Falling to the ground,13,Wheelchair seated,False,1692,1777046654.0648983
0b79bbc5-b4ce-48c7-b1ef-c01b7de8a623,1777046650.7984154,2,06_037.mp4,5,Eating food / having meal,13,Wheelchair seated,False,656,1777046654.8723743
0b79bbc5-b4ce-48c7-b1ef-c01b7de8a623,1777046650.7984154,3,05_008.mp4,4,Coughing,19,Bedside self directed exercise,False,240,1777046655.2552097
f5d29329-3cd6-4f71-9e9f-66572c6a10bf,1777046773.7147682,0,13_031.mp4,12,Walking with normal gait,0,Lying on bed,False,1353,1777046775.1915493
f5d29329-3cd6-4f71-9e9f-66572c6a10bf,1777046773.7147682,1,07_143.mp4,6,Taking medicine,13,Wheelchair seated,False,8809,1777046784.5542696
f5d29329-3cd6-4f71-9e9f-66572c6a10bf,1777046773.7147682,2,11_011.mp4,10,Patient involuntary movements,17,Scratching body,False,592,1777046785.4099066
f5d29329-3cd6-4f71-9e9f-66572c6a10bf,1777046773.7147682,3,08_007.mp4,7,Walking with walker,14,Nausea vomiting,False,711,1777046786.414929
1efd097e-c299-487a-a17b-d251052b59e0,1777046794.1269152,0,14_016.mp4,13,Wheelchair seated,15,Walking abnormal gait,False,936,1777046795.1939929
1efd097e-c299-487a-a17b-d251052b59e0,1777046794.1269152,1,17_004.mp4,16,Having chest distress,19,Bedside self directed exercise,False,753,1777046796.1244805
1efd097e-c299-487a-a17b-d251052b59e0,1777046794.1269152,2,15_034.mp4,14,Nausea vomiting,12,Walking with normal gait,False,643,1777046797.0822315
1efd097e-c299-487a-a17b-d251052b59e0,1777046794.1269152,3,16_002.mp4,15,Walking abnormal gait,18,Using phone tablet,False,555,1777046797.7906709
